iter	Passed	Remaining
370	4790	8121
371	4803	8109
372	4815	8095
373	4829	8083
374	4843	8073
375	4858	8062
376	4869	8046
377	4880	8031
378	4891	8014
379	4901	7997
380	4910	7978
381	4921	7962
382	4930	7942
383	4940	7925
384	4950	7907
385	4959	7888
386	4969	7870
387	4978	7853
388	4988	7836
389	4998	7817
390	5007	7799
391	5017	7782
392	5026	7764
393	5037	7748
394	5047	7731
395	5057	7714
396	5067	7697
397	5077	7680
398	5086	7661
399	5098	7647
400	5107	7629
401	5118	7614
402	5129	7599
403	5141	7585
404	5152	7569
405	5163	7554
406	5172	7536
407	5181	7518
408	5191	7501
409	5200	7483
410	5210	7466
411	5219	7449
412	5229	7432
413	5241	7418
414	5253	7405
415	5264	7390
416	5275	7375
417	5286	7360
418	5296	7344
419	5306	7327
420	5315	7310
421	5325	7293
422	5334	7276
423	5343	7259
424	5353	7242
425	5362	7225
426	5372	7209
427	5381	7192
428	5394	7179
429	5406	7167
430	5419	7155
431	5431	7141
432	5442	7126
433	5454	7113
434	5467	7100
435	5477	7085
436	5489	7072
437	5499	7056
438	5509	7040
439	5519	7024
440	5529	7008
441	5538	6992
442	5549	6977
443	5558	6960
444	5570	6947
445	5582	6934
446	5593	6920
447	5605	6906
448	5616	6892
449	5628	6879
450	5639	6865
451	5656	6857
452	5672	6849
453	5686	6838
454	5699	6827
455	5714	6817
456	5728	6806
457	5742	6795
458	5756	6784
459	5768	6771
460	5779	6757
461	5791	6743
462	5804	6731
463	5817	6719
464	5831	6709
465	5847	6700
466	5864	6692
467	5879	6683
468	5894	6674
469	5909	6664
470	5924	6654
471	5938	6642
472	5952	6631
473	5964	6619
474	5977	6606
475	5990	6594
476	6002	6581
477	6015	6569
478	6028	6557
479	6043	6546
480	6057	6535
481	6071	6524
482	6083	6512
483	6095	6498
484	6107	6485
485	6121	6473
486	6133	6461
487	6144	6446
488	6156	6433
489	6170	6422
490	6183	6409
491	6194	6396
492	6205	6381
493	6214	6365
494	6225	6350
495	6233	6334
496	6243	6318
497	6252	6302
498	6262	6287
499	6271	6271
500	6281	6256
501	6290	6240
502	6299	6224
503	6308	6208
504	6317	6192
505	6327	6177
506	6337	6162
507	6346	6146
508	6356	6131
509	6367	6117
510	6381	6106
511	6396	6096
512	6409	6084
513	6421	6072
514	6434	6059
515	6447	6047
516	6461	6036
517	6475	6025
518	6490	6015
519	6502	6002
520	6514	5989
521	6527	5976
522	6541	5966
523	6554	5954
524	6565	5940
525	6578	5927
526	6589	5914
527	6601	5901
528	6613	5888
529	6624	5874
530	6635	5860
531	6645	5846
532	6656	5832
533	6668	5819
534	6677	5803
535	6688	5790
536	6697	5774
537	6707	5759
538	6716	5744
539	6727	5730
540	6736	5715
541	6746	5701
542	6756	5686
543	6766	5672
544	6775	5656
545	6786	5642
546	6796	5628
547	6805	5613
548	6819	5601
549	6830	5588
550	6840	5574
551	6851	5560
552	6861	5546
553	6872	5533
554	6884	5520
555	6895	5506
556	6908	5494
557	6920	5481
558	6933	5469
559	6944	5456
560	6954	5442
561	6965	5428
562	6975	5414
563	6986	5400
564	6996	5386
565	7005	5371
566	7016	5358
567	7026	5344
568	7037	5330
569	7047	5316
570	7057	5302
571	7069	5289
572	7079	5275
573	7088	5260
574	7099	5247
575	7108	5232
576	7119	5219
577	7128	5204
578	7138	5190
579	7147	5175
580	7157	5162
581	7168	5148
582	7179	5135
583	7190	5121
584	7201	5108
585	7212	5095
586	7223	5081
587	7234	5068
588	7244	5055
589	7255	5041
590	7266	5028
591	7276	5015
592	7286	5001
593	7297	4987
594	7308	4974
595	7320	4962
596	7332	4949
597	7342	4935
598	7354	4923
599	7365	4910
600	7378	4898
601	7391	4886
602	7404	4875
603	7418	4863
604	7432	4852
605	7445	4841
606	7459	4829
607	7472	4817
608	7487	4807
609	7498	4794
610	7510	4781
611	7520	4768
612	7533	4755
613	7544	4743
614	7555	4730
615	7567	4717
616	7578	4704
617	7589	4691
618	7601	4678
619	7610	4664
620	7619	4650
621	7628	4636
622	7637	4621
623	7647	4607
624	7655	4593
625	7664	4578
626	7672	4564
627	7682	4550
628	7690	4536
629	7700	4522
630	7711	4509
631	7721	4496
632	7730	4481
633	7738	4467
634	7747	4453
635	7756	4439
636	7764	4424
637	7775	4411
638	7786	4398
639	7795	4385
640	7807	4372
641	7818	4359
642	7828	4346
643	7839	4333
644	7849	4320
645	7860	4307
646	7870	4293
647	7879	4280
648	7887	4265
649	7897	4252
650	7905	4238
651	7914	4224
652	7923	4210
653	7931	4196
654	7940	4182
655	7948	4168
656	7958	4154
657	7965	4140
658	7975	4126
659	7984	4113
660	7993	4099
661	8003	4086
662	8014	4073
663	8024	4060
664	8033	4047
665	8042	4033
666	8052	4020
667	8061	4006
668	8070	3993
669	8079	3979
670	8088	3965
671	8096	3951
672	8105	3938
673	8116	3925
674	8124	3911
675	8133	3898
676	8141	3884
677	8151	3871
678	8159	3857
679	8168	3844
680	8176	3830
681	8186	3817
682	8195	3803
683	8204	3790
684	8212	3776
685	8221	3763
686	8230	3749
687	8238	3735
688	8248	3723
689	8256	3709
690	8266	3696
691	8274	3683
692	8284	3669
693	8293	3656
694	8301	3643
695	8311	3630
696	8321	3617
697	8329	3604
698	8339	3591
699	8347	3577
700	8356	3564
701	8365	3551
702	8373	3537
703	8382	3524
704	8390	3511
705	8401	3498
706	8409	3485
707	8418	3472
708	8428	3459
709	8436	3445
710	8445	3432
711	8454	3419
712	8464	3406
713	8472	3393
714	8481	3380
715	8491	3368
716	8503	3356
717	8514	3344
718	8523	3331
719	8533	3318
720	8542	3305
721	8554	3293
722	8566	3282
723	8579	3270
724	8591	3258
725	8603	3247
726	8615	3235
727	8626	3223
728	8637	3210
729	8648	3198
730	8659	3186
731	8670	3174
732	8679	3161
733	8691	3149
734	8701	3137
735	8712	3125
736	8723	3113
737	8735	3101
738	8746	3088
739	8756	3076
740	8767	3064
741	8778	3052
742	8788	3039
743	8801	3028
744	8812	3016
745	8822	3003
746	8834	2992
747	8845	2979
748	8855	2967
749	8866	2955
750	8877	2943
751	8888	2931
752	8898	2919
753	8912	2907
754	8925	2896
755	8937	2884
756	8950	2873
757	8962	2861
758	8973	2849
759	8983	2836
760	8991	2824
761	9001	2811
762	9009	2798
763	9018	2785
764	9027	2773
765	9036	2760
766	9046	2748
767	9056	2735
768	9066	2723
769	9074	2710
770	9084	2698
771	9094	2685
772	9105	2673
773	9114	2661
774	9125	2649
775	9134	2636
776	9144	2624
777	9152	2611
778	9162	2599
779	9170	2586
780	9180	2574
781	9189	2561
782	9198	2549
783	9207	2536
784	9217	2524
785	9226	2511
786	9234	2499
787	9243	2486
788	9252	2474
789	9261	2462
790	9270	2449
791	9279	2437
792	9290	2425
793	9303	2413
794	9315	2402
795	9325	2389
796	9336	2378
797	9347	2366
798	9359	2354
799	9368	2342
800	9378	2329
801	9387	2317
802	9397	2305
803	9406	2293
804	9416	2281
805	9426	2268
806	9437	2256
807	9445	2244
808	9454	2232
809	9463	2219
810	9473	2207
811	9483	2195
812	9492	2183
813	9501	2171
814	9512	2159
815	9520	2146
816	9530	2134
817	9538	2122
818	9548	2110
819	9556	2097
820	9565	2085
821	9574	2073
822	9582	2060
823	9592	2048
824	9601	2036
825	9610	2024
826	9619	2012
827	9629	2000
828	9640	1988
829	9650	1976
830	9661	1964
831	9673	1953
832	9685	1941
833	9695	1929
834	9706	1917
835	9718	1906
836	9728	1894
837	9736	1882
838	9747	1870
839	9757	1858
840	9769	1847
841	9784	1835
842	9797	1824
843	9809	1813
844	9822	1801
845	9834	1790
846	9846	1778
847	9858	1767
848	9870	1755
849	9882	1744
850	9894	1732
851	9908	1721
852	9917	1709
853	9929	1697
854	9941	1686
855	9954	1674
856	9967	1663
857	9981	1651
858	9995	1640
859	10009	1629
860	10024	1618
861	10038	1607
862	10052	1595
863	10067	1584
864	10081	1573
865	10095	1562
866	10107	1550
867	10120	1539
868	10132	1527
869	10145	1516
870	10157	1504
871	10168	1492
872	10179	1480
873	10190	1469
874	10202	1457
875	10214	1445
876	10224	1434
877	10236	1422
878	10246	1410
879	10257	1398
880	10269	1387
881	10280	1375
882	10293	1363
883	10306	1352
884	10319	1341
885	10333	1329
886	10345	1317
887	10356	1306
888	10368	1294
889	10379	1282
890	10390	1271
891	10400	1259
892	10411	1247
893	10421	1235
894	10432	1223
895	10442	1212
896	10454	1200
897	10465	1188
898	10475	1176
899	10484	1164
900	10493	1152
901	10502	1141
902	10511	1129
903	10519	1117
904	10529	1105
905	10541	1093
906	10553	1082
907	10564	1070
908	10574	1058
909	10585	1046
910	10594	1035
911	10604	1023
912	10613	1011
913	10622	999
914	10631	987
915	10639	975
916	10649	963
917	10658	952
918	10667	940
919	10676	928
920	10699	917
921	10717	906
922	10735	895
923	10757	884
924	10777	873
925	10796	862
926	10816	851
927	10828	840
928	10846	828
929	10867	817
930	10880	806
931	10888	794
932	10898	782
933	10906	770
934	10915	758
935	10924	746
936	10932	735
937	10943	723
938	10953	711
939	10962	699
940	10970	687
941	10980	676
942	10989	664
943	10998	652
944	11007	640
945	11016	628
946	11026	617
947	11036	605
948	11044	593
949	11054	581
950	11062	570
951	11072	558
952	11081	546
953	11091	534
954	11099	523
955	11107	511
956	11116	499
957	11125	487
958	11135	476
959	11144	464
960	11153	452
961	11161	440
962	11171	429
963	11179	417
964	11189	405
965	11197	394
966	11207	382
967	11216	370
968	11226	359
969	11235	347
970	11246	335
971	11254	324
972	11262	312
973	11273	300
974	11281	289
975	11290	277
976	11299	266
977	11308	254
978	11317	242
979	11329	231
980	11338	219
981	11347	208
982	11355	196
983	11365	184
984	11373	173
985	11383	161
986	11393	150
987	11404	138
988	11414	126
989	11426	115
990	11436	103
991	11448	92
992	11458	80
993	11471	69
994	11483	57
995	11495	46
996	11506	34
997	11518	23
998	11529	11
999	11541	0
